start time hr:min:sec	end time hr:min:sec	Annotations	Layer	Index	
0:5:04	0:5:29	Reaction to current nuclear testings by France was published this week by Mexico's Daily Excelsior. Peru broke diplomatic relations with France in protest of its atomic explosions. It expressed a desire for similar actions by other American countries. The French government protested, announcing that the tests could not be halted.	Speaker 1	Peru, France	
0:5:29	0:6:01	Three persons representing 20 French political groups and trade unions delivered a note to President George Pompidou asking that an end be put immediately to the series of tests. The daily Le Monde in an editorial maintained that the government cannot ignore that psychologically, its nuclear politics are a failure, provoking indignation from other countries without attaining enthusiasm from the French people. In New York, Secretary General of the United Nations, Kurt Waldheim deplored the French explosion at Moruroa and asked all those interested to abide by the UN rules prohibiting nuclear testing in the atmosphere.	Speaker 2	France	
0:6:01	0:6:28	But the rightest French press, Le Figaro, wrote, "It is doubtful that the New Zealanders and Australians can legitimately express an opinion concerning French defense needs because European security is none of their business." In Lima, Peruvian officials announced the rupture of diplomatic relations with France. They're confident, however, that relations with France will resume when France ceases the nuclear testing.	Speaker 1	France, Australia, New Zealand	
0:6:28	0:6:54	The Santiago weekly, Chile Hoy, further states, "France insists on controlling the zones near Moruroa, which they claim to be an extension of their sea territory, but the action of expelling ships within a radius of 72 miles is beyond the limits of their sovereignty."Before the wave of protesting was begun, it was enough for a nuclear country to announce their testing plans so the danger zone could be avoided by ships. Now different foreign ships have decided to stay within this danger zone as a means of protest.	Speaker 2	France	
0:6:28	0:7:34	The fact of undeclared war in Guatemala is being openly admitted. Despite the grand public relations campaign being waged on his behalf. General Laugerud, the official presidential candidate, was recently forced to admit that everyone in Guatemala knows that the country is in an undeclared state of war, which began 13 years ago. The violence is increasing and the government and its handpicked candidate for the 1974 election had been trying to use that violence as a political issue by claiming that it is a part of a plot to discredit the government in the pre-electoral period.	Speaker 1	Guatemala, Political Violence	
0:7:34	0:8:06	The fact that violence is increasing was demonstrated dramatically one week in June when one landowner, two farm administrators and a rightist congressman were murdered all by people with no clear ties to organized political groups. A wealthy landowner, businessman and former president of the US sponsored Penny Foundation was killed by several peasants whose land he was trying to take over. Congressman Hector Soles Juarez, a renowned right-winger was killed after two unsuccessful assassination attempts, but no group on the left has claimed responsibility for the act.	Speaker 2	Violence, Guatemala	
0:8:06	0:8:25	Guatemala Report continues saying, "During the past year the government's main overt efforts to control the situation aside from direct armed confrontations have been aimed at maintaining a continuous high level of fear in the population and a constant awareness of the strength of the repressive forces." 	Speaker 1	Guatemala	
0:8:25	0:8:48	This tactic has been most apparent in the so-called Cleanup Operations carried out without obvious provocation in different parts of the country, but primarily in Guatemala City. These cleanup maneuvers are ostensibly designed to rid the country of common criminals, and as the elections approach, are increasingly focused on combating marijuana, an issue which the government is trying to use to distract attention from these serious problems facing the country.	Speaker 2	Guatemala	
0:8:48	0:9:38	In recent months, there are indications that the government, unable to totally pacify the country, may now be trying to use political violence and organized subversion as an issue in the election. According to Laugerud, the government cannot control the situation because it is fighting organized violence, manifested in the repetition of similar acts all over the country in which landowners, farm administrators, military commissioners, and policemen have been killed. Several army officers have recently acknowledged that despite massive pacification efforts, the problem of political violence and concretely of the guerrilla, has not been liquidated. Despite the general level of censorship, the press has also reported the existence of armed groups in the northern part of the country.	Speaker 1	Political Violence, Guatemala	
0:9:38	0:103	These developments make it clear that the government no longer feels obliged to maintain a liberal political image and that the election will bring no moratorium on official and semi-official violence. Thus, any lull in the government's undeclared war must be seen as tactical and temporary rather than as the beginning of peace, tranquility, and stability. This critical view of the undeclared war in Guatemala is presented by the Guatemala Report.	Speaker 2	Political Violence, Guatemala	
0:103	0:10:23	The Miami Herald reports that the Brazilian government has been telling its consumers recently that they are the ones who must take action to stop the inflation which has plagued this country for many years. In government-sponsored newspaper ads, housewives are told to shop around and think before they buy.	Speaker 1	Brazil	
0:10:23	0:10:45	Inflation in Brazil was approaching 100% a year when the armed forces threw out a civilian administration in 1964. The military regime opened the country's doors to foreign investment, held down workers' salaries, outlawed strikes, and forced people to pay taxes. As a result, inflation last year was only 14%. This year, the government says it will be 12%, the lowest in two decades.	Speaker 2	Brazil	
0:10:45	0:11:26	Also, Brazil's gross national product has increased by more than 9% annually for the past six years, to around $50 billion. Exports for this year are forecast at a record $5.3 billion with 40% coming from manufactured goods. However, critics of the regime point out that most Brazilians have not benefited from the economic growth. Per-person income in Brazil is around $500 a year. In the United States, it is about $4,000. Millions of farmers in the country's vast interior still live mainly on what they grow and barter. They do not participate directly in the money economy.	Speaker 1	Brazil	
0:11:26	0:11:56	While top Brazilian executives are reported to be bringing in annual salaries of $200,000 or more, sugar cane cutters in the Northeastern states get a dollar for every ton of cane that they can chop, stack and bundle. It takes a strong worker nearly an entire day to cut a ton. A group of Roman Catholic bishops charged recently that Brazil's present economic system does not help Brazilian society, but only the profit interests of foreign companies and their associates in our country. The clergyman said the only only solution is social ownership of the means of production.	Speaker 2	Brazil	
0:11:56	0:12:16	The government acknowledges that workers pay has not increased as fast as the economy as a whole, but they argue this is the price of controlling inflation. About the lopsided distribution of income, Brazil's finance minister said, "Nobody is satisfied with the way income is distributed in Brazil, but if some country had discovered a better way to distribute income, it would've been put in action."	Speaker 2	Brazil	
0:12:16	0:12:40	In striking contrast to original estimates of Perón, an almost magical change of heart has led the United States to view Perón as Argentina's best hope. The New York Times comments that, "In a reversal of attitudes, the United States government has come to view Juan Domingo Perón not as a menace, but as Argentina's best hope for political stability and economic progress." 	Speaker 1	Argentina, Perón	
0:12:40	0:12:54	This reappraisal was advanced in interviews by top officials of the State Department involved with South American affairs, and was confirmed by the Argentinian Embassy as its understanding of current United States policy.	Speaker 1	Argentina	
0:12:54	0:13:15	The new position of the United States comes as no surprise to leftist elements in Argentina and throughout Latin America who have bemoaned Perón's moves toward the right for many weeks. In reorganizing his political movement at home, Perón seems to have embraced conservative elements within his party by his appointments of two right-wing labor leaders to important positions within the party.	Speaker 2	Argentina, Perón	
0:13:15	0:13:49	Meanwhile, members of the Perónist Youth Movement who are responsible for mass mobilizing in support of Perón are angry because they were not consulted in the recent restructuring of the party. According to Latin America, Perón himself doubtless realizes that he is placing a tremendous strain on his political basis. They have long comforted themselves with the belief that he was quite different from men like José Rucci, leader of the General Labor Confederation. And last November, Perón played up to this belief, murmuring to the youth leaders that he knew who the traitors were.	Speaker 1	Argentina, Perón	
0:13:49	0:14:01	Now the revolutionaries are having to fall back on a new formulation, which is that Perón is surrounded by reactionaries who keep him a virtual prisoner. The preceding article by Latin America.	Speaker 1	Perón	
0:14:01	0:14:24	You are listening to Latin American Press Review, a weekly roundup of news and events as seen by leading world newspapers with special emphasis on the Latin American Press. Our feature this week is an interview with Dr. David Barkin of Lehman College of City University of New York, discussing recent events in Chile.	Speaker 1	Latin American Press Review, Introduction	
0:14:24	0:14:30	Dr. Barkin, could you please describe the current situation in Chile?	Speaker	Chile	
0:14:30	0:15:24	That's hard, but in a word I guess we could say it's confused. The present situation is one of a great deal of upset of strikes throughout the country, of great deal of scarcity of food, and of a great deal of political maneuvering. But to understand what's going on, we cannot simply stay in the events of the month of July or June, but we have to go back to the month of October when we had the large strike, which lasted almost a month and in which the truck drivers began, who tried to force the Allende the government to go easy on some of its policies of changing the economic structure so that the people who were working in the factories and in the fields could improve their living standards.	Dr. Barkin	Chile, Allende	
0:15:24	0:15:46	Back in October, the strikes by the truck drivers, who also are the truck owners, forced a confrontation in which Allende came out winning. By Allende I mean the Popular Unity government, which was legally elected as the government of Chile back in 1970 and has a six-year term of office.	Dr. Barkin	Chile, Allende	
0:15:46	0:16:06	Now, that situation, which happened in October, created a large economic upset for the country. $200 million is the estimated cost of that situation because of lost exports and economic upset in the country.	Dr. Barkin		
0:16:06	0:17:06	During that period of time, as I said, Allende came out winning because what happened was the government came out with more support among the working classes who realized that the truck owners and other small business people and large business people, of course, were very much up in arms against the interests of the working classes, against the interests of the peasants, because these groups of people represented interests which were not directed towards satisfying basic housing, medical care, educational and food needs for the mass of the Chilean people. As a result, you had a situation in which Allende won, basically. He won, he was able to reestablish a balance of power with Salvador Allende the president at the political helm.	Dr. Barkin	Chile, Allende	
0:17:06	0:17:36	Now in June, you had another series of events which culminated in a strike by one group of people within the copper mines, the administrative workers. The administrative workers within the copper mines were arguing that they should get an escudo and one half increase in pay for every escudo, that all the other workers in Chile got as a result of inflation.	Dr. Barkin	Chile	
0:17:36	0:18:08	Now, this was an inadmissible situation for the Chilean government because the copper workers were already the best paid workers in Chile. As a result, there was a huge and lengthy and very costly copper strike, which took place in Chile. That was resolved, but it was resolved, again, at the cost of great deal of political turmoil, which involved Allende taking very strong measures.	Dr. Barkin	Chile	
0:18:08	0:18:46	Now, during the past six or seven weeks, the situation has gotten worse in the sense that the right has correctly seen itself as being threatened by the growing strength that Allende has shown among the working classes, and has therefore had to take much more severe measures to try to control or to get back some of the power which led to the assassination of Allende's military aide-de-camp, the Navy man who was shot in a very, very brutal fashion, machine-gunned in his home one evening several weeks ago.	Dr. Barkin	Chile, Allende	
0:18:46	0:19:27	Now, what that has forced Allende to do is again, to take stronger measures, and has forced, again, a heightening of tension. But has at the same time made it quite obvious to large segments of the Chilean population that there are conflicts, very severe conflicts of interest between what the right is trying to do and what the Popular Unity government is trying to do. But the Popular Unity government in turn finds pressures from the left, which is asking that Allende go even further in taking over enterprises which are owned by the people who are creating the civil war.	Dr. Barkin	Chile, Allende	
0:19:27	0:19:44	And about the role of the United States, in December, Salvador Allende denounced past aggressions of the United States economic interests against the Chilean people. Do you think intervention in Chile's affairs continues?	Speaker 1	Chile, Allende	
0:19:44	0:204	That question's very hard to answer, because obviously... The answer Chileans give is clearly yes. Although the people who are involved in this are not carrying cards which say, "I'm a member of the CIA" or "I work for ITT."	Dr. Barkin	Chile	
0:204	0:20:37	What happens is that there's a great deal of intervention in a number of different fronts. The most obvious of them being that the right wing still finds economic support, the right groups. Not only Patria y Libertad or Father Land and Freedom Group, which is the group that's responsible for the assassination of Allende's aide-de-camp, but also for the centrist groups or the so-called centrist groups, the Christian Democratic groups, which are now the opposition party in Chile.	Dr. Barkin	Chile	
0:20:37	0:21:11	These groups find, through their normal economic ties with America's largest multinational corporations, that it is easy to find economic and political support, and as is quite clear from an analysis of the American press, the American press is still trying to mobilize American opinion against attempts to give the Chilean working classes a decorative standard of living by claiming that this is going against American interests.	Dr. Barkin	Chile	
0:21:11	0:21:44	What it seems to me is that we have to try to understand that it's different groups of Americans who have interests in the welfare of different parts of the Chilean population, and that our support must be for the working people, the people and the peasants who are trying to improve their standard of living. But it seems clear that at least economic support is coming from the United States to help in these counter-governmental efforts.	Dr. Barkin	Chile	
0:21:44	0:21:55	On the international front, Chile is finding a great deal of support in most international organizations from groups that are not controlled by the United States government.	Dr. Barkin	Chile	
0:21:55	0:22:00	Have recent events hurt Allende's popularity among the working class?	Speaker 1	Chile, Allende	
0:22:00	0:22:48	That is a very important question to answer because in it lies the possibility of understanding three more years of Popular Unity government. I think that contrary to hurting Popular Unity and Allende's popularity, recent events have strengthened it. We have the March 4th elections as testimony to that, where there was a very, very substantial increase in voting and in voting for the Popular Unity government throughout broad sectors of the economy, including the famous Conservative Women. And I say famous because women are supposed to be, in Latin America, traditionally conservative and traditional.	Dr. Barkin	Chile, Allende, Women, Women in Chile	
0:22:48	0:23:18	As a result, the women's vote is taken as a particularly strong vote of confidence in Allende. What happens is I think that the women realize more than ever how it is that prices and supplies are being manipulated in the grocery stores for the benefit of certain people, and are going through a process of trying to understand the economic situation, and realize that they have to support certain actions.	Dr. Barkin	Chile, Allende, Women, Women in Chile	
0:23:18	0:23:42	Interesting thing, since March, I think his popularity has grown even more with the recent events in the assassination, the copper strike and things like that, so that the right and the Democratic Christian groups have been forced to accelerate their own activities because they feel menaced by the growing solidarity within the working classes.	Dr. Barkin	Chile, Allende	
0:23:42	0:24:10	If anything, the interesting thing about the working classes and the polarization and Allende's popularity has been their growing radicalization and their demands for more stringent and stronger moves by the government than the government feels it can politically go through right now. But in electoral terms and in terms of the future, I think that yes, his popularity has grown.	Dr. Barkin	Chile, Allende	
0:24:10	0:24:17	Will the Allende regime survive the current difficulties, and what do you foresee for the future?	Speaker 1	Chile, Allende	
0:24:17	0:24:51	I think I just tried to indicate that yes, the Allende government will survive. The Allende government will survive because Salvador Allende has demonstrated himself to be a magnificent politician, an extraordinarily agile person in terms of manipulating and in terms of playing a very delicate political game, which is heightening, which is becoming more serious, and the stakes are getting higher. But the threats and the stakes are higher also.	Dr. Barkin	Chile, Allende	
0:24:51	0:25:20	Right now, Allende has successfully resolved the conflicts between the extreme right and the extreme left by playing a centrist ground. As a result, he's getting attacks from all sides. He's trying a dialogue with the Christian Democrats, which I think is going to have very problematic results. None of these attempts in the past have worked, and I don't think they'll work now, but we'll see.	Dr. Barkin	Chile, Allende	
0:25:20	0:25:42	But let me just close by saying in the future, I think that there's a great deal of reason to be optimistic because what's happened is the working classes, the majority of the people are beginning to take their own dynamic in trying to control their own lives and in demanding voices, which during past years have been spoken for by the leaders of the country.	Dr. Barkin	Chile, Allende	
0:25:42	0:26:00	As a result, you have a situation in which the industrial and the agricultural sectors of the economy are beginning to demand participation in decision-making in an autonomous way. And if nothing else, that's perhaps the most exciting thing that's in the future for Chile.	Dr. Barkin	Chile	
0:26:00	0:26:07	In view of your optimism for the future, what do you think about the rumors that Chile is on the brink of civil war?	Speaker 1	Chile	
0:26:07	0:26:37	I think those rumors are very convenient fabrications and misunderstandings by different groups, both within Chile, and especially in the American press. The notion of civil war itself is a very difficult notion in a country with a president who's trying to lead the country on a transition through a peaceful way and through the political process.	Dr. Barkin	Chile	
0:26:37	0:26:59	The political game in Chile is a very, very complicated one. And the stakes are high, and Allende's success is the reason why the right has been forced to take some of the violent actions that it's taking, and why the economic sabotage, which is going on throughout the economy is taking place.	Dr. Barkin	Chile	
0:26:59	0:27:19	The threats from the left are very clear, and I think that there's an attempt by the left, by some elements within the extreme left to also suggest that the country is on the brink of civil war.	Dr. Barkin		
0:27:19	0:27:56	But civil war would require a different sort of display of forces and a different sort of availability of arms and distribution of those arms, than is currently available in Chile. The armed forces are very powerful, and the United States has equipped them very well during the past three years. And they have up to now been very effective in controlling the distribution of arms and have recently been collecting a great number of loose arms, which they find among different groups in both the right and the left.	Dr. Barkin	Chile	
0:27:56	0:28:13	The armed forces, if it came to a showdown, would probably support the Christian Democratic groups, but I don't think that that kind of showdown is in the offing, and I don't think that civil war is the way in which the political problems of Chile are going to be resolved.	Dr. Barkin	Chile	
0:28:13	0:28:58	Thank you, Dr. Barkin. We have been talking about recent events in Chile with Professor David Barkin of Lehman College City University of New York. You have been listening to Latin American Press Review, a weekly roundup of news and events in Latin America, as seen by leading world newspapers, with special emphasis on the Latin American press. This program is produced by the Latin American Policy Alternatives Group. Comments and suggestions about the show are welcome and may be sent to us at 2205 San Antonio Street, Austin, Texas. This program is distributed by Communication Center, University of Texas at Austin.	Speaker 1	Chile	Latin American Press Review, Conclusion
